Speaker,Model,Error Type,TP,FP,FN,precision,recall,f1
SA006_rainbow,small,Repetition Errors,1,22,2,0.04,0.33,0.08
SA006_rainbow,small,Prosodic Errors,0,23,0,0.00,0.00,0.00
SA006_rainbow,medium,Substitution Errors,3,7,1,0.30,0.75,0.43
SA006_rainbow,medium,Deletion Errors,1,9,0,0.10,1.00,0.18
SA006_rainbow,medium,Insertion Errors,1,9,3,0.10,0.25,0.14
SA006_rainbow,medium,Repetition Errors,1,9,2,0.10,0.33,0.15
SA006_rainbow,medium,Prosodic Errors,0,10,0,0.00,0.00,0.00
SA006_rainbow,large,Substitution Errors,3,10,1,0.23,0.75,0.35
SA006_rainbow,large,Deletion Errors,1,12,0,0.08,1.00,0.14
SA006_rainbow,large,Insertion Errors,4,9,2,0.31,0.67,0.42
SA006_rainbow,large,Repetition Errors,2,11,1,0.15,0.67,0.25
SA006_rainbow,large,Prosodic Errors,0,13,0,0.00,0.00,0.00
SA006_rainbow,turbo,Substitution Errors,5,8,0,0.38,1.00,0.56
SA006_rainbow,turbo,Deletion Errors,1,12,0,0.08,1.00,0.14
SA006_rainbow,turbo,Insertion Errors,2,11,2,0.15,0.50,0.24
SA006_rainbow,turbo,Repetition Errors,2,11,1,0.15,0.67,0.25
SA006_rainbow,turbo,Prosodic Errors,0,13,0,0.00,0.00,0.00
